Brand,Model,Availability,Availability_Status,Range(in_mile),Efficiency(Wh/mile),Weight_in_Kg,t_0_60_mph,Battery_Capacity(kWh),Seating_Capacity,Boot Space(in_Litres),Price_Per_Range(in_£),Model Price(in_£)
Volkswagen,ID.4 GTX,Discontinued,(July 2021 - June 2022),245,314.0,2224.0,6.2,77.0,5,543.0,200.0,49025
Vauxhall,Vivaro-e Life Combi M 50 kWh,Discontinued,(January 2022 - January 2024),115,403.0,1969.0,12.1,46.3,9,507.0,322.0,36995
Mercedes-Benz,EQS SUV 450 4MATIC,Discontinued,(March 2023 - December 2023),300,361.0,2805.0,6.0,108.4,7,645.0,432.0,129470
ORA,Funky Cat First Edition+,Discontinued,(October 2023 - December 2023),210,282.0,1615.0,8.2,59.3,5,228.0,161.0,33795
Citroen,e-SpaceTourer XL 75 kWh,Available,to order since May 2024,160,425.0,2240.0,14.2,68.0,9,989.0,278.0,44435
Ford,e-Tourneo Courier,Available,to order since April 2025,125,349.0,1650.0,11.0,43.6,5,491.0,270.0,33690
Skoda,Enyaq iV vRS,Discontinued,(June 2023 - October 2023),260,296.0,2258.0,6.2,77.0,5,585.0,203.0,52670
Audi,Q4 Sportback e-tron 50 quattro,Discontinued,(September 2021 - January 2024),250,306.0,2215.0,6.2,76.6,5,535.0,234.0,58510
Mercedes-Benz,EQS AMG 53 4MATIC+,Discontinued,(February 2022 - June 2023),335,322.0,2655.0,3.4,107.8,5,610.0,483.0,161860
Vauxhall,Combo-e Life XL 50 kWh,Discontinued,(November 2021 - January 2024),125,370.0,1813.0,11.7,46.3,7,806.0,277.0,34685
Porsche,Taycan 4S Sport Turismo,Discontinued,(March 2022 - February 2024),230,309.0,2245.0,4.0,71.0,5,530.0,399.0,91700
Volvo,C40 Recharge Pure Electric (MY23),Discontinued,(February 2022 - December 2022),205,327.0,2045.0,7.4,67.0,5,450.0,230.0,47100
Volkswagen,ID.5 Pro Performance,Discontinued,(July 2022 - November 2023),265,291.0,2118.0,8.4,77.0,5,549.0,197.0,52185
Porsche,Taycan 4S Cross Turismo,Discontinued,(January 2023 - February 2024),270,310.0,2320.0,4.1,83.7,5,530.0,353.0,95200
Porsche,Taycan 4 Cross Turismo,Available,to order since February 2024,315,308.0,2355.0,4.7,97.0,5,530.0,307.0,96800
Porsche,Taycan Turbo S Cross Turismo,Available,to order since February 2024,300,323.0,2400.0,2.5,97.0,5,489.0,542.0,162500
Citroen,e-SpaceTourer XL 50 kWh,Available,to order since May 2024,110,421.0,2056.0,13.3,46.3,9,989.0,355.0,39035
Tesla,Model S P90D,Discontinued,(April 2016 - November 2016),250,342.0,2271.0,3.3,85.5,5,895.0,0.0,0
BMW,i3s,Discontinued,(October 2017 - October 2018),100,272.0,1340.0,6.9,27.2,4,260.0,325.0,32475
Porsche,Taycan GTS Sport Turismo,Discontinued,(February 2022 - February 2024),265,316.0,2385.0,3.7,83.7,5,530.0,420.0,111200
Skoda,Enyaq Coupe iV 80x,Discontinued,(January 2023 - October 2023),270,285.0,2214.0,7.0,77.0,5,575.0,194.0,52505
Fisker,Ocean Ultra,Discontinued,(March 2023 - June 2024),310,344.0,2526.0,4.2,106.5,5,476.0,164.0,50900
Abarth,500e Scorpionissima,Discontinued,(February 2023 - April 2023),140,270.0,1410.0,7.0,37.8,4,185.0,276.0,38695
Volkswagen,ID.5 GTX,Discontinued,(July 2022 - November 2023),250,308.0,2243.0,6.3,77.0,5,549.0,226.0,56545
Porsche,Taycan Plus,Discontinued,(January 2023 - February 2024),300,279.0,2205.0,5.4,83.7,5,491.0,279.0,83654
Porsche,Taycan 4 Cross Turismo,Discontinued,(January 2023 - February 2024),270,310.0,2320.0,5.1,83.7,5,530.0,327.0,88200
Porsche,Taycan 4S Sport Turismo,Available,to order since February 2024,270,305.0,2270.0,3.7,82.3,5,530.0,358.0,96700
Vauxhall,Vivaro-e Life XL 75 kWh,Available,to order since June 2024,160,425.0,2240.0,14.2,68.0,9,989.0,319.0,51095
Tesla,Model S 60D,Discontinued,(June 2016 - April 2017),215,288.0,2183.0,5.4,62.0,5,895.0,0.0,0
Renault,Zoe R90,Discontinued,(February 2017 - March 2018),85,274.0,1502.0,14.5,23.3,5,338.0,233.0,19845
Volkswagen,e-Up!,Discontinued,(September 2016 - September 2019),60,267.0,1229.0,12.4,16.0,4,250.0,327.0,19615
Citroen,E-Berlingo Multispace,Discontinued,(July 2017 - January 2019),60,342.0,1679.0,19.5,20.5,5,1350.0,0.0,0
Tesla,Model X Performance,Discontinued,(June 2019 - July 2019),275,345.0,2572.0,3.6,95.0,7,491.0,339.0,93150
Audi,e-tron S Sportback,Discontinued,(October 2020 - September 2021),205,422.0,2695.0,4.5,86.5,5,615.0,433.0,88700
Citroen,e-C4,Discontinued,(February 2021 - December 2021),175,265.0,1616.0,9.7,46.3,5,380.0,177.0,30895
Citroen,e-SpaceTourer M 50 kWh,Discontinued,(November 2020 - January 2024),115,403.0,1969.0,12.1,46.3,9,507.0,322.0,37045
Mercedes-Benz,EQS SUV 580 4MATIC,Discontinued,(March 2023 - December 2023),300,361.0,2810.0,4.6,108.4,7,645.0,465.0,139470
Mini,Electric Convertible,Discontinued,(February 2023 - February 2024),105,275.0,1540.0,8.2,28.9,4,160.0,500.0,52500
Skoda,Enyaq Coupe 85x,Discontinued,(October 2023 - January 2025),280,275.0,2230.0,6.6,77.0,5,570.0,180.0,50305
Volkswagen,e-Up!,Discontinued,(January 2014 - September 2016),55,291.0,1214.0,12.4,16.0,4,250.0,378.0,20780
Tesla,Model S 70D,Discontinued,(April 2016 - June 2016),220,314.0,2183.0,5.4,69.0,5,895.0,0.0,0
Peugeot,e-Rifter Long 50 kWh,Discontinued,(October 2021 - January 2024),125,370.0,1841.0,11.7,46.3,7,806.0,281.0,35120
Ford,Mustang Mach-E GT (MY23),Discontinued,(November 2022 - November 2023),265,343.0,2348.0,4.4,91.0,5,619.0,281.0,74540
Volkswagen,ID.5 Pro,Discontinued,(July 2022 - November 2023),265,291.0,2118.0,10.4,77.0,5,549.0,191.0,50710
Porsche,Taycan Turbo Sport Turismo,Available,to order since February 2024,315,308.0,2390.0,2.7,97.0,5,489.0,428.0,134800
Volvo,EC40 Twin Motor Performance (MY25),Discontinued,(July 2024 - April 2025),250,316.0,2185.0,4.6,79.0,5,435.0,238.0,59555
Volvo,EC40 Single Motor (MY26),Available,to order since April 2025,220,305.0,2057.0,7.3,67.0,5,435.0,238.0,52410
Tesla,Model S 70,Discontinued,(April 2016 - June 2016),215,321.0,2102.0,5.8,69.0,5,895.0,0.0,0
Porsche,Taycan 4S Cross Turismo,Discontinued,(July 2021 - January 2023),260,322.0,2320.0,4.1,83.7,5,530.0,350.0,91000
Mercedes-Benz,EQE SUV 350 4MATIC,Discontinued,(February 2023 - January 2024),265,336.0,2580.0,6.6,89.0,5,520.0,342.0,90560
Citroen,e-SpaceTourer M 50 kWh,Available,to order since May 2024,110,421.0,2027.0,13.3,46.3,9,603.0,347.0,38135
Ford,Mustang Mach-E GT (MY21),Discontinued,(November 2021 - April 2022),255,345.0,2348.0,4.4,88.0,5,619.0,260.0,66280
Porsche,Taycan Turbo Cross Turismo,Discontinued,(July 2021 - January 2023),245,342.0,2395.0,3.3,83.7,5,489.0,493.0,120900
Porsche,Taycan Plus Sport Turismo,Discontinued,(March 2022 - February 2024),275,304.0,2235.0,5.4,83.7,5,530.0,308.0,84654
Porsche,Taycan Turbo Sport Turismo,Discontinued,(March 2022 - February 2024),250,335.0,2405.0,3.2,83.7,5,489.0,507.0,126800
Ford,Mustang Mach-E SR RWD (MY22),Discontinued,(April 2022 - November 2022),235,298.0,2044.0,6.9,70.0,5,619.0,213.0,50030
Volvo,EC40 Single Motor (MY25),Discontinued,(April 2024 - April 2025),220,305.0,2057.0,7.3,67.0,5,435.0,239.0,52555
Abarth,600e Turismo,Available,to order since December 2024,170,299.0,1700.0,6.2,50.8,5,360.0,218.0,36975
Tesla,Model X Standard Range,Discontinued,(June 2019 - July 2019),220,330.0,2427.0,4.8,72.5,7,491.0,348.0,76550
Nissan,Ariya e-4ORCE 87kWh - 290 kW,Discontinued,(August 2024 - October 2024),250,348.0,2293.0,5.1,87.0,5,415.0,236.0,59025
Audi,Q4 Sportback e-tron 40,Discontinued,(November 2021 - January 2024),265,289.0,2120.0,8.5,76.6,5,535.0,197.0,52130
Kia,Soul EV 39.2 kWh,Discontinued,(September 2022 - May 2024),140,280.0,1610.0,9.9,39.2,5,315.0,235.0,32875
Audi,SQ8 e-tron Sportback,Discontinued,(May 2023 - November 2024),300,353.0,2725.0,4.5,106.0,5,590.0,338.0,101315
Mercedes-Benz,EQS AMG 53 4MATIC+,Discontinued,(June 2023 - November 2023),335,324.0,2700.0,3.4,108.4,5,620.0,483.0,161860
Ford,Focus Electric,Discontinued,(September 2013 - October 2015),65,301.0,1700.0,11.4,19.6,5,237.0,438.0,28500
Citroen,e-SpaceTourer XL 50 kWh,Discontinued,(November 2021 - January 2024),110,421.0,1989.0,12.1,46.3,9,912.0,344.0,37885
Porsche,Taycan Turbo S Sport Turismo,Discontinued,(March 2022 - February 2024),245,342.0,2400.0,2.8,83.7,5,489.0,609.0,149300
Abarth,500e Convertible,Available,to order since May 2023,140,270.0,1435.0,7.0,37.8,4,185.0,266.0,37195
Porsche,Taycan Turbo Cross Turismo,Discontinued,(January 2023 - February 2024),265,316.0,2395.0,3.3,83.7,5,489.0,478.0,126800
Porsche,Taycan Turbo S Cross Turismo,Discontinued,(January 2023 - February 2024),255,328.0,2395.0,2.9,83.7,5,489.0,585.0,149300
Mercedes-Benz,EQE SUV 350 4MATIC,Available,to order since July 2024,270,336.0,2560.0,6.6,90.6,5,520.0,296.0,79940
Tesla,Model X P90DL,Discontinued,(October 2016 - November 2016),230,372.0,2524.0,3.4,85.5,7,491.0,0.0,0
Tesla,Model S 60,Discontinued,(June 2016 - April 2017),210,295.0,2102.0,5.8,62.0,5,895.0,0.0,0
Hyundai,Kona Electric 39 kWh,Discontinued,(September 2018 - June 2019),150,261.0,1610.0,9.7,39.2,5,332.0,182.0,27250
Smart,EQ fortwo cabrio,Discontinued,(April 2018 - September 2019),55,304.0,1115.0,11.8,16.7,2,260.0,361.0,19835
Peugeot,e-Traveller Long 50 kWh,Discontinued,(June 2021 - January 2024),115,403.0,1989.0,13.1,46.3,9,989.0,379.0,43625
Toyota,Proace Verso Long 50 kWh,Discontinued,(February 2024 - August 2024),110,421.0,1989.0,12.1,46.3,8,989.0,395.0,43488
Porsche,Taycan 4S Plus Sport Turismo,Discontinued,(March 2022 - February 2024),265,316.0,2325.0,4.0,83.7,5,530.0,362.0,95996
Mercedes-Benz,EQE AMG 53 4MATIC+,Discontinued,(July 2022 - September 2023),280,324.0,2525.0,3.5,90.6,5,430.0,410.0,114750
Porsche,Taycan 4S Plus,Discontinued,(January 2023 - February 2024),295,284.0,2295.0,4.0,83.7,5,491.0,322.0,94996
Tesla,Model X P90D,Discontinued,(October 2016 - November 2016),235,364.0,2514.0,4.0,85.5,7,491.0,0.0,0
Tesla,Model S P90DL,Discontinued,(April 2016 - June 2016),250,342.0,2271.0,3.0,85.5,5,895.0,0.0,0
Tesla,Model X Performance,Discontinued,(March 2019 - May 2019),260,365.0,2572.0,3.7,95.0,7,491.0,346.0,89850
Porsche,Taycan Turbo S Cross Turismo,Discontinued,(July 2021 - January 2023),235,356.0,2395.0,2.9,83.7,5,489.0,610.0,143400
Toyota,Proace Verso Medium 50 kWh,Discontinued,(February 2024 - August 2024),115,403.0,1969.0,12.1,46.3,8,603.0,374.0,42988
Fisker,Ocean Sport,Discontinued,(March 2023 - June 2024),215,330.0,2300.0,7.4,71.0,5,476.0,172.0,36900
Tesla,Model X 60D,Discontinued,(October 2016 - February 2017),175,354.0,2427.0,6.2,62.0,7,491.0,0.0,0
Smart,ForTwo Cabrio Electric Drive,Discontinued,(July 2017 - April 2018),55,304.0,1115.0,11.8,16.7,2,260.0,337.0,18560
Kia,e-Niro 39 kWh,Discontinued,(July 2020 - December 2020),145,270.0,1667.0,9.8,39.2,5,451.0,204.0,29595
Peugeot,e-Rifter Standard 50 kWh,Discontinued,(October 2021 - January 2024),125,370.0,1765.0,11.7,46.3,7,571.0,265.0,33120
Peugeot,e-Traveller Standard 50 kWh,Discontinued,(June 2021 - January 2024),115,403.0,1969.0,13.1,46.3,9,603.0,372.0,42785
Audi,e-tron Sportback 50 quattro,Discontinued,(October 2021 - September 2022),180,359.0,2445.0,6.8,64.7,5,615.0,355.0,63835
